THOMAS MILTON        202-113-5748
info CHERRY EMIL        716-959-7642 swapped w/ CHERRY EMIL        716-959-7642
joe
 inc is 72 dec 70
start 71 end 71
return 1 and 0
start 73 end 73
return 1 and 0
start 75 end 184
 main execution 
hellend 
at 154 and 184
pivindex FIGUEROA TRISTAN        774-458-3354 and end is HAYS FLORA        281-136-7299
info FOSTER ISIAH        360-657-8123 swapped w/ CRAWFORD ROXANNE        264-899-7458
joe
 inc is 76 dec 182
info GRAY DAMION        930-736-6049 swapped w/ CONTRERAS ALBERT        595-589-1933
joe
 inc is 78 dec 180
info FORBES DWIGHT        649-325-6924 swapped w/ EVERETT ROSCOE        430-305-5327
joe
 inc is 81 dec 179
info HAMMOND SAUNDRA        625-718-9665 swapped w/ CLAY MERCEDES        703-708-6255
joe
 inc is 82 dec 178
info FRY JOANNE        527-460-7311 swapped w/ DONALDSON HALLIE        647-403-7661
joe
 inc is 83 dec 177
info GILL ALYCE        885-523-9508 swapped w/ CLARK CAROL        255-245-5868
joe
 inc is 85 dec 175
info HERNANDEZ AUDRA        234-591-4606 swapped w/ CLEMENTS LYMAN        409-176-3224
joe
 inc is 86 dec 169
info FITZPATRICK MOLLIE        907-688-9108 swapped w/ COLE SANG        658-277-5402
joe
 inc is 88 dec 166
info GREEN KRYSTAL        562-941-8743 swapped w/ DRAKE JOSH        819-815-6887
joe
 inc is 89 dec 164
info GLENN ELISEO        827-249-4901 swapped w/ COTTON FRANCISCO        784-929-5527
joe
 inc is 90 dec 161
info HALE BURT        396-761-6595 swapped w/ DAWSON MIRANDA        904-386-3439
joe
 inc is 91 dec 160
info HENDERSON CANDY        541-961-5773 swapped w/ DICKSON OLIVE        886-497-7493
joe
 inc is 92 dec 159
info GRIFFITH WILLIE        662-745-6038 swapped w/ ELLIOTT CLEO        577-209-8152
joe
 inc is 93 dec 157
info HARRIS ELISA        457-681-4435 swapped w/ DAY PHILIP        829-513-1141
joe
 inc is 94 dec 154
info FREDERICK EMORY        617-228-2888 swapped w/ DUNCAN OLA        651-776-7945
joe
 inc is 95 dec 149
info HEATH LIONEL        798-991-4424 swapped w/ COLE NOEL        556-391-3237
joe
 inc is 100 dec 148
info GOODWIN NOLA        712-364-4718 swapped w/ COTTON SANG        678-971-9266
joe
 inc is 101 dec 146
info GREEN SUMMER        868-995-6898 swapped w/ DAVENPORT CARLO        679-115-3770
joe
 inc is 103 dec 145
info GONZALEZ ETHAN        632-638-3431 swapped w/ CONWAY MOSES        467-866-4482
joe
 inc is 106 dec 143
info HAMILTON BRIDGET        558-324-6315 swapped w/ DICKSON MARQUITA        894-541-8840
joe
 inc is 109 dec 141
info FOSTER JAYNE        383-692-1344 swapped w/ ENGLAND NITA        323-430-6393
joe
 inc is 111 dec 139
info GAMBLE DIXIE        858-365-8170 swapped w/ CLEMENTS AL        814-545-6928
joe
 inc is 113 dec 137
info HART JOSEF        476-790-9808 swapped w/ CHRISTIAN DOREEN        419-721-4283
joe
 inc is 115 dec 132
info HARRELL SEAN        397-317-8665 swapped w/ DUNLAP GLENDA        487-870-1313
joe
 inc is 119 dec 130
info FOX DAMION        617-224-1783 swapped w/ DRAKE LUANN        609-845-3899
joe
 inc is 120 dec 129
info GUZMAN ADAN        825-683-9646 swapped w/ EWING LAVERNE        395-370-1942
joe
 inc is 122 dec 128
info GARCIA DAMION        689-508-1540 swapped w/ CLEMENTS ROSE        718-249-2084
joe
 inc is 123 dec 127
info GRIFFIN ELISE        700-972-3629 swapped w/ ERICKSON STEPHAN        806-787-1682
joe
 inc is 125 dec 124
start 75 end 124
 main execution 
hellend 
at 124 and 124
pivindex ERICKSON STEPHAN        806-787-1682 and end is ERICKSON STEPHAN        806-787-1682
info EVERETT ROSCOE        430-305-5327 swapped w/ CLAY BRIGITTE        858-930-6534
joe
 inc is 81 dec 122
info FERGUSON MARIETTA        864-181-3196 swapped w/ CLEMENTS ROSE        718-249-2084
joe
 inc is 96 dec 121
 inc is 121 dec 120
start 75 end 120
 main execution 
hellend 
at 120 and 120
pivindex DOWNS ROBERTO        296-517-5107 and end is DOWNS ROBERTO        296-517-5107
info DRAKE SHERI        956-541-5463 swapped w/ CONWAY JOANNE        254-958-3454
joe
 inc is 79 dec 115
info DRAKE JOSH        819-815-6887 swapped w/ CRAIG SHANE        256-629-5019
joe
 inc is 89 dec 114
info ELLIOTT CLEO        577-209-8152 swapped w/ CHRISTIAN DOREEN        419-721-4283
joe
 inc is 93 dec 113
info DUNCAN OLA        651-776-7945 swapped w/ DICKSON MAYRA        311-413-9652
joe
 inc is 95 dec 112
info ERICKSON EARLINE        885-527-1222 swapped w/ CLEMENTS AL        814-545-6928
joe
 inc is 105 dec 111
info ENGLAND ROBIN        930-523-3444 swapped w/ DONOVAN VERONICA        725-612-5630
joe
 inc is 107 dec 110
 inc is 109 dec 108
start 75 end 108
 main execution 
hellend 
at 108 and 108
pivindex DICKSON MARQUITA        894-541-8840 and end is DICKSON MARQUITA        894-541-8840
info DONALDSON HALLIE        647-403-7661 swapped w/ DELGADO REED        643-562-8792
joe
 inc is 83 dec 106
info DICKSON OLIVE        886-497-7493 swapped w/ CONWAY MOSES        467-866-4482
joe
 inc is 92 dec 104
info DICKSON MAYRA        311-413-9652 swapped w/ CLEMENTS AL        814-545-6928
joe
 inc is 95 dec 103
info DORSEY AUTUMN        591-937-9549 swapped w/ DAVENPORT CARLO        679-115-3770
joe
 inc is 102 dec 101
start 75 end 101
 main execution 
hellend 
at 101 and 101
pivindex DAVENPORT CARLO        679-115-3770 and end is DAVENPORT CARLO        679-115-3770
info DELGADO REED        643-562-8792 swapped w/ COTTON SANG        678-971-9266
joe
 inc is 83 dec 99
info DAWSON MIRANDA        904-386-3439 swapped w/ COLE NOEL        556-391-3237
joe
 inc is 91 dec 98
info DAY PHILIP        829-513-1141 swapped w/ CRANE JAN        311-462-1428
joe
 inc is 94 dec 96
 inc is 97 dec 96
start 75 end 96
 main execution 
hellend 
at 86 and 96
pivindex CLAYTON ESTELLE        462-137-9437 and end is CLARKE KRYSTAL        755-778-5251
info CRAWFORD ROXANNE        264-899-7458 swapped w/ CHRISTIAN DOREEN        419-721-4283
joe
 inc is 76 dec 91
info CROSBY RICKY        301-180-1574 swapped w/ CLARKE KRYSTAL        755-778-5251
joe
 inc is 77 dec 85
info CONTRERAS ALBERT        595-589-1933 swapped w/ CLARK CAROL        255-245-5868
joe
 inc is 78 dec 83
info CONWAY JOANNE        254-958-3454 swapped w/ CLAY MERCEDES        703-708-6255
joe
 inc is 79 dec 80
info COOPER ELBA        401-902-3399 swapped w/ CLAY BRIGITTE        858-930-6534
joe
 inc is 80 dec 79
start 75 end 79
 main execution 
hellend 
at 79 and 79
pivindex CLAY BRIGITTE        858-930-6534 and end is CLAY BRIGITTE        858-930-6534
 inc is 78 dec 77
start 75 end 77
 main execution 
hellend 
at 77 and 77
pivindex CLARK CAROL        255-245-5868 and end is CLARK CAROL        255-245-5868
 inc is 76 dec 75
start 75 end 75
return 1 and 0
start 77 end 77
return 1 and 0
start 79 end 79
return 1 and 0
start 81 end 96
 main execution 
hellend 
at 96 and 96
pivindex COOPER ELBA        401-902-3399 and end is COOPER ELBA        401-902-3399
info COTTON SANG        678-971-9266 swapped w/ CLEMENTS ROSE        718-249-2084
joe
 inc is 83 dec 94
info CROSBY RICKY        301-180-1574 swapped w/ CLEMENTS AL        814-545-6928
joe
 inc is 87 dec 93
info CRAIG SHANE        256-629-5019 swapped w/ CONWAY MOSES        467-866-4482
joe
 inc is 89 dec 90
info COTTON FRANCISCO        784-929-5527 swapped w/ COLE NOEL        556-391-3237
joe
 inc is 90 dec 89
start 81 end 89
 main execution 
hellend 
at 89 and 89
pivindex COLE NOEL        556-391-3237 and end is COLE NOEL        556-391-3237
info CONWAY JOANNE        254-958-3454 swapped w/ CLEMENTS AL        814-545-6928
joe
 inc is 82 dec 85
info COMBS JOCELYN        785-245-6178 swapped w/ CLEMENTS LYMAN        409-176-3224
joe
 inc is 84 dec 84
 inc is 84 dec 83
start 81 end 83
 main execution 
hellend 
at 83 and 83
pivindex CLEMENTS LYMAN        409-176-3224 and end is CLEMENTS LYMAN        409-176-3224
 inc is 82 dec 81
start 81 end 81
return 1 and 0
start 83 end 83
return 1 and 0
start 85 end 89
 main execution 
hellend 
at 89 and 89
pivindex CONTRERAS ALBERT        595-589-1933 and end is CONTRERAS ALBERT        595-589-1933
info CONWAY JOANNE        254-958-3454 swapped w/ COLE SANG        658-277-5402
joe
 inc is 87 dec 86
start 85 end 86
start 88 end 89
start 91 end 96
 main execution 
hellend 
at 96 and 96
pivindex COTTON FRANCISCO        784-929-5527 and end is COTTON FRANCISCO        784-929-5527
info CRAIG SHANE        256-629-5019 swapped w/ CRAIG SHANE        256-629-5019
joe
 inc is 92 dec 90
start 91 end 91
return 1 and 0
start 93 end 96
 main execution 
hellend 
at 96 and 96
pivindex CRAWFORD ROXANNE        264-899-7458 and end is CRAWFORD ROXANNE        264-899-7458
info CROSBY RICKY        301-180-1574 swapped w/ COTTON SANG        678-971-9266
joe
 inc is 95 dec 94
start 93 end 94
start 96 end 96
return 1 and 0
start 98 end 101
 main execution 
hellend 
at 101 and 101
pivindex DAY PHILIP        829-513-1141 and end is DAY PHILIP        829-513-1141
info DELGADO MINDY        832-286-6993 swapped w/ DAWSON MIRANDA        904-386-3439
joe
 inc is 99 dec 98
start 98 end 98
return 1 and 0
start 100 end 101
start 103 end 108
 main execution 
hellend 
at 108 and 108
pivindex DORSEY AUTUMN        591-937-9549 and end is DORSEY AUTUMN        591-937-9549
info DOTSON AMALIA        584-920-1770 swapped w/ DONALDSON HALLIE        647-403-7661
joe
 inc is 104 dec 106
 inc is 107 dec 106
start 103 end 106
 main execution 
hellend 
at 106 and 106
pivindex DONOVAN VERONICA        725-612-5630 and end is DONOVAN VERONICA        725-612-5630
 inc is 106 dec 105
start 103 end 105
 main execution 
hellend 
at 105 and 105
pivindex DICKSON OLIVE        886-497-7493 and end is DICKSON OLIVE        886-497-7493
info DONALDSON HALLIE        647-403-7661 swapped w/ DICKSON MAYRA        311-413-9652
joe
 inc is 104 dec 103
start 103 end 103
return 1 and 0
start 105 end 105
return 1 and 0
start 107 end 106
return 1 and -1
start 108 end 108
return 1 and 0
start 110 end 120
 main execution 
hellend 
at 120 and 120
pivindex EMERSON GAY        662-751-9098 and end is EMERSON GAY        662-751-9098
info ENGLAND NITA        323-430-6393 swapped w/ DRAKE LUANN        609-845-3899
joe
 inc is 111 dec 118
info ENGLAND ROBIN        930-523-3444 swapped w/ DUNLAP GLENDA        487-870-1313
joe
 inc is 112 dec 117
info ERICKSON EARLINE        885-527-1222 swapped w/ DRAKE SHERI        956-541-5463
joe
 inc is 113 dec 115
 inc is 116 dec 115
start 110 end 115
 main execution 
hellend 
at 115 and 115
pivindex DRAKE JOSH        819-815-6887 and end is DRAKE JOSH        819-815-6887
info DRAKE LUANN        609-845-3899 swapped w/ DRAKE LUANN        609-845-3899
joe
 inc is 111 dec 109
start 110 end 110
return 1 and 0
start 112 end 115
 main execution 
hellend 
at 115 and 115
pivindex DUNLAP GLENDA        487-870-1313 and end is DUNLAP GLENDA        487-870-1313
 inc is 114 dec 113
start 112 end 113
start 115 end 115
return 1 and 0
start 117 end 120
 main execution 
hellend 
at 120 and 120
pivindex ERICKSON EARLINE        885-527-1222 and end is ERICKSON EARLINE        885-527-1222
 inc is 120 dec 119
start 117 end 119
 main execution 
hellend 
at 119 and 119
pivindex ENGLAND NITA        323-430-6393 and end is ENGLAND NITA        323-430-6393
info ENGLISH MARCIA        523-319-4287 swapped w/ ENGLISH MARCIA        523-319-4287
joe
 inc is 118 dec 116
start 117 end 117
return 1 and 0
start 119 end 119
return 1 and 0
start 121 end 120
return 1 and -1
start 122 end 124
 main execution 
hellend 
at 124 and 124
pivindex EWING LAVERNE        395-370-1942 and end is EWING LAVERNE        395-370-1942
info FERGUSON MARIETTA        864-181-3196 swapped w/ EVERETT ROSCOE        430-305-5327
joe
 inc is 123 dec 122
start 122 end 122
return 1 and 0
start 124 end 124
return 1 and 0
start 126 end 184
 main execution 
hellend 
at 159 and 184
pivindex HARVEY GERALDINE        470-542-1038 and end is GRIFFIN ELISE        700-972-3629
info HEATH KATIE        313-922-1775 swapped w/ FOSTER ISIAH        360-657-8123
joe
 inc is 135 dec 182
info HEAD CALEB        525-228-4995 swapped w/ GLOVER HELENE        501-462-5596
joe
 inc is 136 dec 181
info HEATH NORMAND        280-751-2076 swapped w/ GRAY DAMION        930-736-6049
joe
 inc is 138 dec 180
info HENSON MASON        766-121-2408 swapped w/ FORBES DWIGHT        649-325-6924
joe
 inc is 146 dec 179
info HEATH LIONEL        798-991-4424 swapped w/ HAMMOND SAUNDRA        625-718-9665
joe
 inc is 150 dec 178
info HERNANDEZ ADA        831-439-9852 swapped w/ FRY JOANNE        527-460-7311
joe
 inc is 152 dec 177
info HARVEY HARLAN        222-183-4226 swapped w/ HARTMAN JEAN        904-952-8131
joe
 inc is 154 dec 176
info HAYS FLORA        281-136-7299 swapped w/ GILL ALYCE        885-523-9508
joe
 inc is 155 dec 175
info HENDERSON CANDY        541-961-5773 swapped w/ GONZALEZ PATRICA        255-620-8841
joe
 inc is 161 dec 174
info HERNANDEZ AUDRA        234-591-4606 swapped w/ GARDNER JUSTIN        693-534-9847
joe
 inc is 171 dec 173
 inc is 174 dec 173
start 126 end 173
 main execution 
hellend 
at 147 and 173
pivindex GOODWIN NOLA        712-364-4718 and end is GROSS SEBASTIAN        626-154-3452
info GRAHAM LOURDES        762-639-5252 swapped w/ FULTON MERVIN        604-304-7596
joe
 inc is 128 dec 171
info GUZMAN ADAN        825-683-9646 swapped w/ FRENCH BRAIN        296-705-8978
joe
 inc is 130 dec 170
info HARRELL SEAN        397-317-8665 swapped w/ GARDNER JUSTIN        693-534-9847
joe
 inc is 132 dec 169
info HARRIS BARBARA        503-816-4522 swapped w/ FRANKS LETITIA        584-582-5242
joe
 inc is 133 dec 168
info HART JOSEF        476-790-9808 swapped w/ GARZA EDMUND        227-608-8498
joe
 inc is 134 dec 167
info GRAY DAMION        930-736-6049 swapped w/ FITZPATRICK MOLLIE        907-688-9108
joe
 inc is 138 dec 166
info HARDING MILLARD        476-698-5026 swapped w/ FRANCO JAN        322-877-5687
joe
 inc is 142 dec 165
info HAMILTON BRIDGET        558-324-6315 swapped w/ GLENN ELISEO        827-249-4901
joe
 inc is 143 dec 161
info GREEN SUMMER        868-995-6898 swapped w/ GONZALEZ PATRICA        255-620-8841
joe
 inc is 147 dec 159
info GROSS SEBASTIAN        626-154-3452 swapped w/ GLENN KARA        719-129-7601
joe
 inc is 148 dec 156
info HART DORA        453-520-3519 swapped w/ FRENCH LELAND        308-344-5915
joe
 inc is 149 dec 155
info HAMMOND SAUNDRA        625-718-9665 swapped w/ GILL ALYCE        885-523-9508
joe
 inc is 150 dec 153
 inc is 152 dec 151
start 126 end 151
 main execution 
hellend 
at 151 and 151
pivindex FRY JOANNE        527-460-7311 and end is FRY JOANNE        527-460-7311
info GONZALEZ DIANE        964-611-3803 swapped w/ FREDERICK EMORY        617-228-2888
joe
 inc is 127 dec 149
info FULTON MERVIN        604-304-7596 swapped w/ FRENCH LELAND        308-344-5915
joe
 inc is 128 dec 147
info GARCIA DAMION        689-508-1540 swapped w/ FORBES DWIGHT        649-325-6924
joe
 inc is 129 dec 144
info GARDNER JUSTIN        693-534-9847 swapped w/ FRANCO JAN        322-877-5687
joe
 inc is 132 dec 140
info GARZA EDMUND        227-608-8498 swapped w/ FOSTER JAYNE        383-692-1344
joe
 inc is 134 dec 139
info GLOVER HELENE        501-462-5596 swapped w/ FITZGERALD KENDRICK        265-551-3240
joe
 inc is 136 dec 138
 inc is 138 dec 137
start 126 end 137
 main execution 
hellend 
at 137 and 137
pivindex FITZPATRICK MOLLIE        907-688-9108 and end is FITZPATRICK MOLLIE        907-688-9108
info FREDERICK EMORY        617-228-2888 swapped w/ FITZGERALD KENDRICK        265-551-3240
joe
 inc is 127 dec 134
 inc is 127 dec 126
start 126 end 126
return 1 and 0
start 128 end 137
 main execution 
hellend 
at 137 and 137
pivindex FRENCH LELAND        308-344-5915 and end is FRENCH LELAND        308-344-5915
 inc is 136 dec 135
start 128 end 135
 main execution 
hellend 
at 135 and 135
pivindex FREDERICK EMORY        617-228-2888 and end is FREDERICK EMORY        617-228-2888
info FRENCH BRAIN        296-705-8978 swapped w/ FOSTER ISIAH        360-657-8123
joe
 inc is 130 dec 133
 inc is 134 dec 133
start 128 end 133
 main execution 
hellend 
at 133 and 133
pivindex FOSTER JAYNE        383-692-1344 and end is FOSTER JAYNE        383-692-1344
 inc is 130 dec 129
start 128 end 129
start 131 end 133
 main execution 
hellend 
at 133 and 133
pivindex FOX DAMION        617-224-1783 and end is FOX DAMION        617-224-1783
info FRANCO JAN        322-877-5687 swapped w/ FRANCO JAN        322-877-5687
joe
 inc is 132 dec 130
start 131 end 131
return 1 and 0
start 133 end 133
return 1 and 0
start 135 end 135
return 1 and 0
start 137 end 137
return 1 and 0
start 139 end 151
 main execution 
hellend 
at 151 and 151
pivindex GAMBLE DIXIE        858-365-8170 and end is GAMBLE DIXIE        858-365-8170
info GLOVER HELENE        501-462-5596 swapped w/ FULTON MERVIN        604-304-7596
joe
 inc is 140 dec 147
 inc is 140 dec 139
start 139 end 139
return 1 and 0
start 141 end 151
 main execution 
hellend 
at 151 and 151
pivindex GARZA EDMUND        227-608-8498 and end is GARZA EDMUND        227-608-8498
info GLENN ELISEO        827-249-4901 swapped w/ GARCIA DAMION        689-508-1540
joe
 inc is 143 dec 144
 inc is 143 dec 142
start 141 end 142
start 144 end 151
 main execution 
hellend 
at 151 and 151
pivindex GAY ROSIE        811-109-8145 and end is GAY ROSIE        811-109-8145
info GONZALEZ ETHAN        632-638-3431 swapped w/ GONZALEZ ETHAN        632-638-3431
joe
 inc is 145 dec 143
start 144 end 144
return 1 and 0
start 146 end 151
 main execution 
hellend 
at 151 and 151
pivindex GLENN ELISEO        827-249-4901 and end is GLENN ELISEO        827-249-4901
info GONZALEZ PATRICA        255-620-8841 swapped w/ GILL ALYCE        885-523-9508
joe
 inc is 147 dec 148
 inc is 147 dec 146
start 146 end 146
return 1 and 0
start 148 end 151
 main execution 
hellend 
at 151 and 151
pivindex GLENN KARA        719-129-7601 and end is GLENN KARA        719-129-7601
info GLOVER HELENE        501-462-5596 swapped w/ GLOVER HELENE        501-462-5596
joe
 inc is 149 dec 147
start 148 end 148
return 1 and 0
start 150 end 151
start 153 end 173
 main execution 
hellend 
at 173 and 173
pivindex GROSS MARIA        826-919-2737 and end is GROSS MARIA        826-919-2737
info HARTMAN JEAN        904-952-8131 swapped w/ GRAHAM LOURDES        762-639-5252
joe
 inc is 154 dec 171
info HAMMOND SAUNDRA        625-718-9665 swapped w/ GRAY DAMION        930-736-6049
joe
 inc is 155 dec 166
info HARRIS ELISA        457-681-4435 swapped w/ GREEN KRYSTAL        562-941-8743
joe
 inc is 156 dec 164
info HART DORA        453-520-3519 swapped w/ GREEN SUMMER        868-995-6898
joe
 inc is 157 dec 159
info GROSS SEBASTIAN        626-154-3452 swapped w/ GRIFFIN ELISE        700-972-3629
joe
 inc is 158 dec 158
 inc is 159 dec 158
start 153 end 158
 main execution 
hellend 
at 158 and 158
pivindex GRIFFITH WILLIE        662-745-6038 and end is GRIFFITH WILLIE        662-745-6038
 inc is 158 dec 157
start 153 end 157
 main execution 
hellend 
at 157 and 157
pivindex GRIFFIN ELISE        700-972-3629 and end is GRIFFIN ELISE        700-972-3629
 inc is 157 dec 156
start 153 end 156
 main execution 
hellend 
at 155 and 156
pivindex GREEN KRYSTAL        562-941-8743 and end is GREEN SUMMER        868-995-6898
 inc is 155 dec 154
start 153 end 154
start 156 end 156
return 1 and 0
start 158 end 157
return 1 and -1
start 159 end 158
return 1 and -1
start 160 end 173
 main execution 
hellend 
at 173 and 173
pivindex GROSS SEBASTIAN        626-154-3452 and end is GROSS SEBASTIAN        626-154-3452
info HART DORA        453-520-3519 swapped w/ HART DORA        453-520-3519
joe
 inc is 161 dec 159
start 160 end 160
return 1 and 0
start 162 end 173
 main execution 
hellend 
at 173 and 173
pivindex HALE BURT        396-761-6595 and end is HALE BURT        396-761-6595
info HAMILTON BRIDGET        558-324-6315 swapped w/ GUZMAN ADAN        825-683-9646
joe
 inc is 163 dec 170
 inc is 164 dec 163
start 162 end 163
start 165 end 173
 main execution 
hellend 
at 173 and 173
pivindex HARRINGTON DARLA        464-979-7871 and end is HARRINGTON DARLA        464-979-7871
info HARRIS ELISA        457-681-4435 swapped w/ HAMILTON BRIDGET        558-324-6315
joe
 inc is 166 dec 170
info HART JOSEF        476-790-9808 swapped w/ HARRELL SEAN        397-317-8665
joe
 inc is 169 dec 169
 inc is 169 dec 168
start 165 end 168
 main execution 
hellend 
at 168 and 168
pivindex HARRELL SEAN        397-317-8665 and end is HARRELL SEAN        397-317-8665
 inc is 168 dec 167
start 165 end 167
 main execution 
hellend 
at 167 and 167
pivindex HAMMOND SAUNDRA        625-718-9665 and end is HAMMOND SAUNDRA        625-718-9665
 inc is 166 dec 165
start 165 end 165
return 1 and 0
start 167 end 167
return 1 and 0
start 169 end 168
return 1 and -1
start 170 end 173
 main execution 
hellend 
at 173 and 173
pivindex HARRIS BARBARA        503-816-4522 and end is HARRIS BARBARA        503-816-4522
info HART JOSEF        476-790-9808 swapped w/ HART JOSEF        476-790-9808
joe
 inc is 171 dec 169
start 170 end 170
return 1 and 0
start 172 end 173
start 175 end 184
 main execution 
hellend 
at 184 and 184
pivindex HERNANDEZ AUDRA        234-591-4606 and end is HERNANDEZ AUDRA        234-591-4606
 inc is 184 dec 183
start 175 end 183
 main execution 
hellend 
at 183 and 183
pivindex HEATH KATIE        313-922-1775 and end is HEATH KATIE        313-922-1775
info HENDERSON CANDY        541-961-5773 swapped w/ HEAD CALEB        525-228-4995
joe
 inc is 176 dec 181
 inc is 178 dec 177
start 175 end 177
 main execution 
hellend 
at 177 and 177
pivindex HARVEY HARLAN        222-183-4226 and end is HARVEY HARLAN        222-183-4226
info HEAD CALEB        525-228-4995 swapped w/ HEAD CALEB        525-228-4995
joe
 inc is 176 dec 174
start 175 end 175
return 1 and 0
start 177 end 177
return 1 and 0
start 179 end 183
 main execution 
hellend 
at 183 and 183
pivindex HERNANDEZ ADA        831-439-9852 and end is HERNANDEZ ADA        831-439-9852
 inc is 183 dec 182
start 179 end 182
 main execution 
hellend 
at 182 and 182
pivindex HENDERSON CANDY        541-961-5773 and end is HENDERSON CANDY        541-961-5773
info HENSON MASON        766-121-2408 swapped w/ HEATH NORMAND        280-751-2076
joe
 inc is 181 dec 180
start 179 end 180
start 182 end 182
return 1 and 0
start 184 end 183
return 1 and -1
start 185 end 184
return 1 and -1
start 186 end 217
 main execution 
hellend 
at 217 and 217
pivindex JOHNSTON TAYLOR        336-206-8066 and end is JOHNSTON TAYLOR        336-206-8066
info JUAREZ JASON        390-711-2319 swapped w/ HUGHES OLIVE        986-828-9886
joe
 inc is 201 dec 215
info JUAREZ HATTIE        245-845-7516 swapped w/ HINTON PANSY        757-313-3457
joe
 inc is 214 dec 213
start 186 end 213
 main execution 
hellend 
at 213 and 213
pivindex HINTON PANSY        757-313-3457 and end is HINTON PANSY        757-313-3457
info HOWARD JOESPH        471-612-1776 swapped w/ HIGGINS ALI        316-652-2499
joe
 inc is 187 dec 198
info HOWE FOREST        584-806-4564 swapped w/ HILL DARREL        686-702-7064
joe
 inc is 188 dec 190
info HUBER MARLENE        386-534-6259 swapped w/ HIGGINS NEWTON        688-129-4517
joe
 inc is 189 dec 189
 inc is 189 dec 188
start 186 end 188
 main execution 
hellend 
at 188 and 188
pivindex HIGGINS NEWTON        688-129-4517 and end is HIGGINS NEWTON        688-129-4517
 inc is 187 dec 186
start 186 end 186
return 1 and 0
start 188 end 188
return 1 and 0
start 190 end 213
 main execution 
hellend 
at 213 and 213
pivindex HOUSE BOBBIE        886-289-3504 and end is HOUSE BOBBIE        886-289-3504
info HUBER MARLENE        386-534-6259 swapped w/ HOOD FORREST        584-536-2384
joe
 inc is 191 dec 211
info HOWE FOREST        584-806-4564 swapped w/ HOBBS MARI        381-340-1141
joe
 inc is 192 dec 208
info HUNTER LEE        490-165-5678 swapped w/ HOGAN NATASHA        255-355-3957
joe
 inc is 193 dec 206
info JOHNS LUELLA        363-512-4319 swapped w/ HORN KIMBERLY        638-600-1761
joe
 inc is 195 dec 204
info JARVIS JESS        413-877-1086 swapped w/ HORTON MEAGAN        779-355-6445
joe
 inc is 196 dec 196
 inc is 196 dec 195
start 190 end 195
 main execution 
hellend 
at 195 and 195
pivindex HORTON MEAGAN        779-355-6445 and end is HORTON MEAGAN        779-355-6445
 inc is 195 dec 194
start 190 end 194
 main execution 
hellend 
at 194 and 194
pivindex HORN KIMBERLY        638-600-1761 and end is HORN KIMBERLY        638-600-1761
 inc is 194 dec 193
start 190 end 193
 main execution 
hellend 
at 193 and 193
pivindex HOGAN MARVA        695-616-2279 and end is HOGAN MARVA        695-616-2279
info HOOD FORREST        584-536-2384 swapped w/ HOBBS MARI        381-340-1141
joe
 inc is 191 dec 190
start 190 end 190
return 1 and 0
start 192 end 193
start 195 end 194
return 1 and -1
start 196 end 195
return 1 and -1
start 197 end 213
 main execution 
hellend 
at 213 and 213
pivindex JARVIS MARYANNE        921-982-9194 and end is JARVIS MARYANNE        921-982-9194
info JENNINGS DARYL        829-191-9342 swapped w/ HUBER MARLENE        386-534-6259
joe
 inc is 203 dec 211
info JOHNS LUELLA        363-512-4319 swapped w/ HOUSE EDUARDO        932-210-6944
joe
 inc is 206 dec 210
 inc is 211 dec 210
start 197 end 210
 main execution 
hellend 
at 210 and 210
pivindex INGRAM ELLIOT        661-890-2519 and end is INGRAM ELLIOT        661-890-2519
info JARVIS JESS        413-877-1086 swapped w/ HOWE FOREST        584-806-4564
joe
 inc is 198 dec 208
info JACOBS JOSH        560-812-5613 swapped w/ HUNT ARIEL        904-163-5301
joe
 inc is 204 dec 207
 inc is 208 dec 207
start 197 end 207
 main execution 
hellend 
at 207 and 207
pivindex HUNTER LEE        490-165-5678 and end is HUNTER LEE        490-165-5678
info HUTCHINSON FORREST        400-788-2462 swapped w/ HULL CARLENE        354-449-3447
joe
 inc is 202 dec 205
 inc is 206 dec 205
start 197 end 205
 main execution 
hellend 
at 205 and 205
pivindex HOUSE EDUARDO        932-210-6944 and end is HOUSE EDUARDO        932-210-6944
info HOWE FOREST        584-806-4564 swapped w/ HOWE FOREST        584-806-4564
joe
 inc is 198 dec 196
start 197 end 197
return 1 and 0
start 199 end 205
 main execution 
hellend 
at 201 and 205
pivindex HULL CARLENE        354-449-3447 and end is HUNTER KELSEY        349-737-8336
info HUNTER KELSEY        349-737-8336 swapped w/ HUFF BEAU        353-961-3508
joe
 inc is 202 dec 203
 inc is 203 dec 202
start 199 end 202
 main execution 
hellend 
at 202 and 202
pivindex HUBER MARLENE        386-534-6259 and end is HUBER MARLENE        386-534-6259
 inc is 200 dec 199
start 199 end 199
return 1 and 0
start 201 end 202
start 204 end 205
start 207 end 207
return 1 and 0
start 209 end 210
start 212 end 213
start 215 end 217
 main execution 
hellend 
at 217 and 217
pivindex JUAREZ HATTIE        245-845-7516 and end is JUAREZ HATTIE        245-845-7516
 inc is 216 dec 215
start 215 end 215
return 1 and 0
start 217 end 217
return 1 and 0
start 219 end 399
 main execution 
hellend 
at 219 and 399
pivindex MCKEE EVANGELINA        980-547-6431 and end is SCHROEDER WILLIAM        835-803-9371
info SCHROEDER WILLIAM        835-803-9371 swapped w/ MATHIS VICKY        564-383-7427
joe
 inc is 220 dec 397
